web_name,position_name,short_name,price,team_id,ownership,form,minutes,goals_scored,assists,clean_sheets,bonus,ict_index,has_injury_news,is_available,pts_per_90,pts_per_million,gc_per_90,appearance_rate,fixture_ease,avg_opp_strength,fixture_count,team_avg_goals_scored,team_avg_goals_conceded,form_tier,ownership_tier,total_points,predicted_xP,value_score,rag_score
Thiago,FWD,BRE,7.3,5,0.0,6.3,2832,21,1,9,22,228.6,0,True,5.338983050847458,23.013698630136982,0.6991525423728814,0.9833333333333332,2.5,3.5,6,1.5,1.375,hot,differential,168,4.69,0.642,68.92
Rogers,MID,AVL,7.4,2,0.0,3.7,2830,8,7,9,13,201.7,0,True,4.547703180212015,19.324324324324323,0.4770318021201413,0.9826388888888888,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,average,differential,143,4.55,0.615,68.87
Aaronson,MID,LEE,5.4,11,0.0,3.2,2137,4,8,9,5,127.1,0,True,5.011698642957417,22.037037037037035,0.5053813757604119,0.7420138888888889,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,average,differential,119,3.38,0.626,68.52
Zubimendi,MID,ARS,5.0,1,0.0,1.0,2672,5,1,15,9,115.5,0,True,4.008233532934131,23.8,0.2020958083832335,0.9277777777777778,3.0,3.0,6,1.9375,0.75,cold,differential,119,4.01,0.802,67.79
Scott,MID,BOU,5.0,4,0.0,3.8,2488,3,2,9,9,117.7,0,True,4.377009646302251,24.2,0.1808681672025723,0.8638888888888889,2.833333333333333,3.1666666666666665,6,1.5,1.53125,average,differential,121,3.87,0.774,67.78
Casemiro,MID,MUN,5.7,14,0.0,3.7,2270,8,4,8,17,173.0,0,True,5.709251101321586,25.26315789473684,0.4757709251101322,0.7881944444444444,2.6666666666666665,3.333333333333333,6,1.78125,1.40625,average,differential,144,4.26,0.747,66.97
Garner,MID,EVE,5.3,9,0.0,3.0,2873,2,6,11,13,174.1,0,True,4.448311869126349,26.79245283018868,0.2506091193873999,0.9975694444444444,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,142,4.22,0.796,66.68
Roefs,GKP,SUN,4.8,17,0.0,3.7,2610,0,0,9,12,79.8,0,True,4.172413793103448,25.208333333333336,0.0,0.90625,2.833333333333333,3.1666666666666665,6,1.03125,1.125,average,differential,121,3.72,0.775,66.61
Virgil,DEF,LIV,6.3,12,0.0,4.0,2880,3,1,10,10,153.9,0,True,4.5,22.857142857142858,0.125,1.0,2.6666666666666665,3.333333333333333,6,1.625,1.3125,average,differential,144,4.24,0.673,65.68
Alderete,DEF,SUN,4.1,17,0.0,3.0,2443,1,1,9,5,105.4,0,True,4.089234547687269,27.07317073170732,0.0736799017601309,0.8482638888888889,2.833333333333333,3.1666666666666665,6,1.03125,1.125,average,differential,111,3.49,0.851,65.59
Tarkowski,DEF,EVE,5.7,9,0.0,3.0,2790,1,1,11,9,127.7,0,True,4.67741935483871,25.43859649122807,0.064516129032258,0.96875,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,145,4.23,0.742,65.57
Gibbs-White,MID,NFO,7.4,16,0.0,3.3,2723,9,2,9,11,187.5,0,True,4.461990451707675,18.24324324324324,0.3635695923613661,0.9454861111111112,2.833333333333333,3.1666666666666665,6,1.0,1.375,average,differential,135,4.26,0.576,65.39
Verbruggen,GKP,BHA,4.5,6,0.0,3.5,2970,0,0,8,6,81.7,0,True,3.393939393939394,24.88888888888889,0.0,1.03125,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,average,differential,112,3.49,0.776,64.73
Dewsbury-Hall,MID,EVE,5.1,9,0.0,4.0,2096,7,5,8,16,134.9,0,True,5.4103053435114505,24.705882352941178,0.5152671755725191,0.7277777777777777,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,126,3.83,0.751,64.55
Andersen,DEF,FUL,4.5,10,0.0,3.7,2651,0,1,7,5,98.1,0,True,3.768389287061486,24.666666666666668,0.0339494530365899,0.9204861111111112,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,average,differential,111,3.44,0.764,64.43
J.Gomes,MID,WOL,5.3,20,0.0,2.0,2471,1,2,4,6,88.4,0,True,3.496560097126669,18.11320754716981,0.1092675030352084,0.8579861111111111,3.1666666666666665,2.833333333333333,6,0.75,1.8125,cold,differential,96,3.36,0.634,63.94
Gudmundsson,DEF,LEE,3.8,11,0.0,2.0,2547,0,0,5,8,90.9,0,True,2.3674911660777385,17.63157894736842,0.0,0.884375,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,cold,differential,67,2.7,0.711,63.81
Haaland,FWD,MCI,14.5,13,0.0,0.7,2503,22,7,11,35,250.3,0,True,7.155413503795446,13.724137931034482,1.0427487015581305,0.8690972222222222,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,cold,differential,199,5.2,0.359,63.54
André,MID,WOL,5.2,20,0.0,4.0,2310,1,0,2,4,65.1,0,True,3.311688311688312,16.346153846153847,0.0389610389610389,0.8020833333333334,3.1666666666666665,2.833333333333333,6,0.75,1.8125,average,differential,85,2.98,0.573,63.08
Van de Ven,DEF,TOT,4.4,18,0.0,1.0,2591,4,1,7,10,89.2,0,True,3.473562331146276,22.727272727272727,0.1736781165573137,0.8996527777777777,3.0,3.0,6,1.25,1.59375,cold,differential,100,3.39,0.77,62.8
João Pedro,FWD,CHE,7.7,7,0.0,1.0,2388,14,9,10,28,198.2,0,True,6.256281407035176,21.55844155844156,0.8668341708542713,0.8291666666666667,2.6666666666666665,3.333333333333333,6,1.65625,1.28125,cold,differential,166,4.66,0.605,62.47
Tavernier,MID,BOU,5.4,4,0.0,2.5,2300,6,4,9,10,154.9,0,True,4.578260869565217,21.666666666666664,0.3913043478260869,0.7986111111111112,2.833333333333333,3.1666666666666665,6,1.5,1.53125,average,differential,117,3.67,0.68,62.34
Mavropanos,DEF,WHU,4.4,19,0.0,8.0,1992,3,0,4,5,93.0,0,True,4.427710843373494,22.27272727272727,0.1355421686746988,0.6916666666666667,2.6666666666666665,3.333333333333333,6,1.25,1.78125,elite,differential,98,2.9,0.659,62.29
Pedro Porro,DEF,TOT,5.1,18,0.0,3.7,2343,1,3,7,4,131.0,0,True,3.572343149807938,18.23529411764706,0.1536491677336747,0.8135416666666667,3.0,3.0,6,1.25,1.59375,average,differential,93,3.16,0.62,62.12
Cash,DEF,AVL,4.7,2,0.0,2.3,2532,3,2,8,6,118.6,0,True,3.803317535545024,22.76595744680851,0.1777251184834123,0.8791666666666667,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,average,differential,107,3.43,0.73,61.45
Welbeck,FWD,BHA,6.3,6,0.0,4.0,1965,12,0,8,17,145.3,0,True,5.038167938931298,17.460317460317462,0.549618320610687,0.6822916666666666,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,average,differential,110,3.44,0.546,60.14
Keane,DEF,EVE,4.5,9,0.0,2.7,2135,3,0,7,8,92.1,0,True,4.97423887587822,26.22222222222222,0.126463700234192,0.7413194444444444,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,118,3.44,0.764,60.12
E.Le Fée,MID,SUN,4.9,17,0.0,1.3,2390,4,4,9,8,136.6,0,True,4.179916317991632,22.653061224489797,0.301255230125523,0.8298611111111112,2.833333333333333,3.1666666666666665,6,1.03125,1.125,cold,differential,111,3.5,0.714,60.04
Pickford,GKP,EVE,5.6,9,0.0,2.3,2880,0,0,11,11,76.0,0,True,3.9375,22.5,0.0,1.0,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,126,3.79,0.677,60.03
Leno,GKP,FUL,4.9,10,0.0,4.0,2970,0,0,7,4,67.5,0,True,2.9696969696969697,20.0,0.0,1.03125,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,average,differential,98,3.09,0.631,59.57
Cherki,MID,MCI,6.4,13,0.0,3.3,1372,3,11,7,13,164.0,0,True,7.215743440233236,17.1875,0.9183673469387756,0.4763888888888888,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,average,differential,110,3.46,0.541,59.49
Szoboszlai,MID,LIV,7.1,12,0.0,2.7,2692,5,3,9,17,205.5,0,True,4.279346210995542,18.028169014084508,0.2674591381872214,0.9347222222222222,2.6666666666666665,3.333333333333333,6,1.625,1.3125,average,differential,128,3.97,0.559,59.32
Xhaka,MID,SUN,5.1,17,0.0,3.0,2361,1,5,8,5,115.7,0,True,3.964421855146124,20.3921568627451,0.2287166454891994,0.8197916666666667,2.833333333333333,3.1666666666666665,6,1.03125,1.125,average,differential,104,3.25,0.637,59.27
Milenković,DEF,NFO,5.1,16,0.0,3.7,2880,0,0,8,2,72.4,0,True,3.0625,19.215686274509807,0.0,1.0,2.833333333333333,3.1666666666666665,6,1.0,1.375,average,differential,98,3.13,0.614,59.02
Donnarumma,GKP,MCI,5.6,13,0.0,2.3,2520,0,0,12,3,57.1,0,True,3.9642857142857135,19.821428571428573,0.0,0.875,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,average,differential,111,3.39,0.605,58.85
Ballard,DEF,SUN,4.7,17,0.0,0.0,2004,2,2,6,9,116.9,0,True,5.299401197604791,25.106382978723403,0.1796407185628742,0.6958333333333333,2.833333333333333,3.1666666666666665,6,1.03125,1.125,cold,differential,118,3.5,0.745,58.71
Watkins,FWD,AVL,8.5,2,0.0,3.7,2375,9,2,9,14,153.9,0,True,4.206315789473684,13.058823529411764,0.4168421052631579,0.8246527777777778,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,average,differential,111,3.64,0.428,58.49
Gyökeres,FWD,ARS,8.8,1,0.0,2.5,1978,12,0,10,13,130.4,0,True,4.823053589484328,12.045454545454543,0.5460060667340748,0.6868055555555556,3.0,3.0,6,1.9375,0.75,average,differential,106,3.57,0.406,58.44
Mbeumo,MID,MUN,8.5,14,0.0,1.3,2256,9,3,5,15,201.1,0,True,4.946808510638298,14.588235294117649,0.4787234042553192,0.7833333333333333,2.6666666666666665,3.333333333333333,6,1.78125,1.40625,cold,differential,124,4.28,0.504,58.1
Gravenberch,MID,LIV,5.5,12,0.0,1.3,2563,4,5,9,14,119.5,0,True,4.389387436597737,22.727272727272727,0.3160358954350371,0.8899305555555556,2.6666666666666665,3.333333333333333,6,1.625,1.3125,cold,differential,125,3.73,0.678,58.09
F.Kadıoğlu,DEF,BHA,4.4,6,0.0,2.2,2680,0,2,8,4,96.4,0,True,3.123134328358209,21.136363636363637,0.0671641791044776,0.9305555555555556,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,average,differential,93,3.06,0.695,57.98
Konsa,DEF,AVL,4.4,2,0.0,2.0,2675,0,1,9,3,77.2,0,True,3.196261682242991,21.59090909090909,0.0336448598130841,0.9288194444444444,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,cold,differential,95,3.07,0.698,57.8
Wieffer,MID,BHA,4.9,6,0.0,5.0,1749,2,4,6,6,92.8,0,True,4.631217838765009,18.36734693877551,0.3087478559176672,0.6072916666666667,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,hot,differential,90,2.79,0.569,57.69
Evanilson,FWD,BOU,6.7,4,0.0,3.8,2370,6,6,9,6,137.9,0,True,3.949367088607595,15.522388059701491,0.4556962025316456,0.8229166666666666,2.833333333333333,3.1666666666666665,6,1.5,1.53125,average,differential,104,3.29,0.491,57.6
S.Bueno,DEF,WOL,4.4,20,0.0,1.5,2102,2,2,4,2,73.5,0,True,3.2112274024738348,17.045454545454543,0.1712654614652712,0.7298611111111111,3.1666666666666665,2.833333333333333,6,0.75,1.8125,cold,differential,75,2.65,0.602,57.56
Petrović,GKP,BOU,4.6,4,0.0,1.2,2970,0,0,9,5,71.9,0,True,3.1818181818181817,22.826086956521745,0.0,1.03125,2.833333333333333,3.1666666666666665,6,1.5,1.53125,cold,differential,105,3.21,0.698,57.53
Martinez,GKP,AVL,5.1,2,0.0,2.0,2385,0,0,7,10,62.4,0,True,3.962264150943396,20.58823529411765,0.0,0.828125,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,cold,differential,105,3.22,0.631,57.38
Cunha,MID,MUN,8.0,14,0.0,4.0,2203,8,4,6,12,167.2,0,True,5.024965955515206,15.375,0.4902405810258738,0.7649305555555556,2.6666666666666665,3.333333333333333,6,1.78125,1.40625,average,differential,123,3.69,0.461,57.26
Bassey,DEF,FUL,4.4,10,0.0,3.7,2082,1,1,5,9,69.0,0,True,3.717579250720461,19.545454545454543,0.0864553314121037,0.7229166666666667,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,average,differential,86,2.79,0.634,57.1
Gomez,MID,BHA,4.9,6,0.0,3.0,2034,5,1,8,9,115.0,0,True,4.20353982300885,19.387755102040813,0.2654867256637168,0.70625,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,average,differential,95,3.0,0.612,56.99
Raúl,FWD,FUL,6.1,10,0.0,2.3,2005,9,5,8,7,146.0,0,True,4.758104738154613,17.37704918032787,0.6284289276807979,0.6961805555555556,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,average,differential,106,3.35,0.549,56.96
Ayari,MID,BHA,4.8,6,0.0,2.8,1891,3,4,6,7,83.1,0,True,4.52141723955579,19.791666666666668,0.3331570597567424,0.6565972222222223,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,average,differential,95,2.99,0.623,56.85
Konaté,DEF,LIV,5.5,12,0.0,2.0,2570,1,0,10,8,90.2,0,True,4.097276264591439,21.272727272727277,0.0350194552529182,0.8923611111111112,2.6666666666666665,3.333333333333333,6,1.625,1.3125,cold,differential,117,3.5,0.636,56.66
Ndiaye,MID,EVE,6.2,9,0.0,4.0,2241,6,3,8,7,140.2,0,True,4.578313253012048,18.387096774193548,0.3614457831325301,0.778125,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,114,3.35,0.54,56.63
Kelleher,GKP,BRE,4.8,5,0.0,5.7,2880,0,0,9,8,74.9,0,True,3.8125,25.416666666666668,0.0,1.0,2.5,3.5,6,1.5,1.375,hot,differential,122,3.06,0.637,56.6
Enzo,MID,CHE,6.5,7,0.0,0.8,2622,8,4,8,14,217.7,0,True,4.462242562929062,20.0,0.4118993135011441,0.9104166666666668,2.6666666666666665,3.333333333333333,6,1.65625,1.28125,cold,differential,130,3.88,0.597,56.59
Bruno G.,MID,NEW,6.8,15,0.0,0.3,2047,9,6,6,19,168.3,0,True,5.935515388373229,19.852941176470587,0.6595017098192477,0.7107638888888889,2.6666666666666665,3.333333333333333,6,1.40625,1.46875,cold,differential,135,4.01,0.59,56.56
Darlow,GKP,LEE,3.9,11,0.0,4.0,1530,0,0,4,0,36.6,0,True,3.0588235294117645,13.333333333333334,0.0,0.53125,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,average,differential,52,1.9,0.487,56.49
Collins,DEF,BRE,4.9,5,0.0,5.0,2521,1,2,8,7,113.4,0,True,4.06981356604522,23.26530612244898,0.10710035700119,0.8753472222222223,2.5,3.5,6,1.5,1.375,hot,differential,114,3.15,0.643,56.27
Wirtz,MID,LIV,8.3,12,0.0,2.7,2070,4,4,10,16,185.6,0,True,4.826086956521739,13.373493975903614,0.3478260869565217,0.71875,2.6666666666666665,3.333333333333333,6,1.625,1.3125,average,differential,111,3.83,0.461,56.22
Richarlison,FWD,TOT,6.3,18,0.0,1.3,1562,9,3,5,13,133.6,0,True,5.4737516005121645,15.07936507936508,0.6914212548015365,0.5423611111111111,3.0,3.0,6,1.25,1.59375,cold,differential,95,3.18,0.505,56.04
Thiaw,DEF,NEW,5.1,15,0.0,1.0,2513,4,0,5,12,120.8,0,True,4.190210903302826,22.94117647058824,0.1432550736171906,0.8725694444444444,2.6666666666666665,3.333333333333333,6,1.40625,1.46875,cold,differential,117,3.47,0.68,55.87
O'Brien,DEF,EVE,4.9,9,0.0,3.3,2636,0,3,10,2,86.0,0,True,3.6191198786039456,21.632653061224488,0.1024279210925644,0.9152777777777776,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,106,3.09,0.631,55.73
Trossard,MID,ARS,6.5,1,0.0,0.5,1711,5,5,8,9,132.0,0,True,5.260081823495032,15.384615384615383,0.5260081823495032,0.5940972222222223,3.0,3.0,6,1.9375,0.75,cold,differential,100,3.3,0.508,55.7
Minteh,MID,BHA,5.5,6,0.0,1.5,1998,2,8,8,8,151.0,0,True,4.504504504504505,18.181818181818183,0.4504504504504504,0.69375,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,cold,differential,100,3.2,0.582,55.4
Nmecha,FWD,LEE,5.0,11,0.0,0.8,867,6,1,3,8,70.2,0,True,6.955017301038063,13.4,0.726643598615917,0.3010416666666666,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,cold,differential,67,2.44,0.488,55.3
Beto,FWD,EVE,5.0,9,0.0,7.7,1269,7,1,5,10,99.6,0,True,5.886524822695035,16.6,0.5673758865248227,0.440625,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,elite,differential,83,2.45,0.49,55.03
Kroupi.Jr,FWD,BOU,4.6,4,0.0,3.2,1297,10,0,7,8,109.9,0,True,6.037008481110254,18.91304347826087,0.6939090208172706,0.4503472222222222,2.833333333333333,3.1666666666666665,6,1.5,1.53125,average,differential,87,2.72,0.591,54.9
Kayode,DEF,BRE,4.6,5,0.0,5.3,2808,1,2,9,7,106.8,0,True,3.269230769230769,22.17391304347826,0.0961538461538461,0.975,2.5,3.5,6,1.5,1.375,hot,differential,102,2.88,0.626,54.5
Saliba,DEF,ARS,6.1,1,0.0,0.5,2164,1,0,11,9,69.3,0,True,4.491682070240296,17.704918032786885,0.0415896487985212,0.7513888888888889,3.0,3.0,6,1.9375,0.75,cold,differential,108,3.11,0.51,54.43
Eze,MID,ARS,7.2,1,0.0,0.5,1530,6,3,8,8,97.2,0,True,5.588235294117647,13.194444444444445,0.5294117647058824,0.53125,3.0,3.0,6,1.9375,0.75,cold,differential,95,3.24,0.45,54.02
Digne,DEF,AVL,4.5,2,0.0,3.0,1626,0,5,7,5,87.7,0,True,4.81549815498155,19.33333333333333,0.2767527675276753,0.5645833333333333,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,average,differential,87,2.64,0.587,53.95
Berge,MID,FUL,4.9,10,0.0,3.0,2679,0,3,6,3,82.0,0,True,2.821948488241881,17.142857142857142,0.1007838745800672,0.9302083333333332,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,average,differential,84,2.72,0.555,53.81
McGinn,MID,AVL,5.3,2,0.0,3.7,1807,4,2,8,6,102.6,0,True,4.183729939125622,15.849056603773583,0.2988378527946873,0.6274305555555556,2.833333333333333,3.1666666666666665,6,1.34375,1.1875,average,differential,84,2.68,0.506,53.55
Foden,MID,MCI,8.0,13,0.0,0.3,1822,7,3,10,10,175.1,0,True,5.581778265642152,14.125,0.4939626783754116,0.6326388888888889,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,cold,differential,113,3.54,0.442,53.24
Van den Berg,DEF,BRE,4.6,5,0.0,5.0,2483,0,2,7,3,90.5,0,True,3.588401127668144,21.521739130434785,0.0724929520741039,0.8621527777777778,2.5,3.5,6,1.5,1.375,hot,differential,99,2.8,0.609,53.11
Sánchez,GKP,CHE,4.8,7,0.0,1.2,2659,0,1,9,7,76.0,0,True,3.553967657013915,21.875,0.0338473110191801,0.9232638888888888,2.6666666666666665,3.333333333333333,6,1.65625,1.28125,cold,differential,105,3.1,0.646,52.88
Xavi,MID,TOT,6.5,18,0.0,3.7,1685,2,5,3,5,99.5,0,True,4.005934718100891,11.538461538461538,0.3738872403560831,0.5850694444444444,3.0,3.0,6,1.25,1.59375,average,differential,75,2.52,0.388,52.63
Sels,GKP,NFO,4.6,16,0.0,3.3,2127,0,0,6,3,54.7,0,True,3.385049365303244,17.39130434782609,0.0,0.7385416666666667,2.833333333333333,3.1666666666666665,6,1.0,1.375,average,differential,80,2.51,0.546,52.63
Dalot,DEF,MUN,4.6,14,0.0,1.0,2294,1,6,6,9,108.0,0,True,3.923278116826504,21.73913043478261,0.2746294681778553,0.7965277777777777,2.6666666666666665,3.333333333333333,6,1.78125,1.40625,cold,differential,100,3.05,0.663,52.59
Mateta,FWD,CRY,7.5,8,0.0,6.0,1959,10,0,8,12,131.6,0,True,4.45635528330781,12.933333333333334,0.4594180704441041,0.6802083333333333,2.4285714285714284,3.571428571428572,7,1.1290322580645162,1.1612903225806452,hot,differential,97,3.23,0.431,52.57
Hume,DEF,SUN,4.5,17,0.0,0.3,2587,0,1,8,6,89.4,0,True,3.0614611519134134,19.55555555555556,0.0347893312717433,0.8982638888888889,2.833333333333333,3.1666666666666665,6,1.03125,1.125,cold,differential,88,2.86,0.636,52.37
Gakpo,MID,LIV,7.3,12,0.0,2.7,2234,6,4,10,5,177.3,0,True,4.5120859444941805,15.342465753424658,0.4028648164726947,0.7756944444444445,2.6666666666666665,3.333333333333333,6,1.625,1.3125,average,differential,112,3.28,0.449,52.15
Hill,DEF,BOU,4.2,4,0.0,1.5,1652,0,3,6,2,66.0,0,True,4.848668280871671,21.19047619047619,0.1634382566585956,0.5736111111111111,2.833333333333333,3.1666666666666665,6,1.5,1.53125,cold,differential,89,2.6,0.619,52.06
Mitchell,DEF,CRY,5.0,8,0.0,2.5,2758,1,2,11,7,112.2,0,True,3.8832487309644663,23.8,0.0978970268310369,0.9576388888888888,2.4285714285714284,3.571428571428572,7,1.1290322580645162,1.1612903225806452,average,differential,119,3.24,0.648,51.95
